CH6717212,10 LITTLE INDIANS,Agatha Christie,Pocket,1982
NY8167261,102 School Cafeteria Jokes,Morgan Matthews,Troll Communications Llc,1992
MJ1586212,2nd Chance (Women's Murder Club (Audio)),James Patterson,Time Warner Audio Major,2002
MJ8118129,52 Ways to Make a Difference (52 Deck Series),Lynn Gordon,Chronicle Books,1996
195042328,A Book of Love Poetry,Jon Stallworthy,Oxford University Press,1986
BK6898460,A Charlie Brown Christmas,Charles  M. Schulz,Little Simon,2001
747558213,A Cook's Tour,Anthony Bourdain,Bloomsbury,2002
NOV451182,A Desperate Call,Laura Coburn,Onyx Books,1995
395928958,A Field Guide to Eastern Forests : North America (Peterson Field Guide Series),John C. Kricher,Houghton Mifflin,1998
NY0590457,A Girl's Best Friend,Harriet May Savitz,Scholastic Paperbacks,1995
NY7472756,A History of Insects,Yvonne Roberts,Headline,2000
451152859,A Lady of Property,Vanessa Gray,New American Library,1988
155853393,A Man Called Daddy : A Celebration of Fatherhood,Hugh O'Neill,Rutledge Hill Press,1996
892967757,A Mourning in Autumn,Harker Moore,Mysterious Press,2004
BK4511381,A Personal Demon,David Bischoff,New Amer Library,1985
688094597,A Quick Kiss of Redemption and Other Stories: Other Stories,David Means,Harpercollins,1991
MJ0743403,A Season in the Highlands,Jude Deveraux,Pocket,2000
MJ3807031,A Southern Family,Gail Godwin,Harper Mass Market Paperbacks,1995
CC1562450,A Teacher Is Better Than 2 Books (Great Quotations),Linda Conway,Great Quotations,1992
REL039566,A Valentine for You,Wendy Watson,Houghton Mifflin,1993
NY6893172,A Wizard of Earthsea,Ursula  K. Le Guin,Atheneum,1991
REL916890,ABC of Avalanche Safety,E. R. Lachapel,Mountaineers Books,1978
CN1931402,Accidents Waiting to Happen,Simon Wood,Barclay Books,2002
CN8125455,Adiamante (Adiamante),L. E. Modesitt Jr.,Tor Science Fiction,1998
380019191,Affair of the Blood Stained Egg Cosy,James Anderson,Harper Mass Market Paperbacks,1983
451405021,Again,Katheleen Gilles Seidel,New Amer Library,1994
394729137,Airships (Vintage Contemporaries (Paperback)),Barry Hannah,Vintage Books USA,1985
BK3499207,Alice im Wunderland,Lewis Carroll,Rowohlt Taschenbuch Verlag GmbH,1994
NOV394753,All Fires the Fire,Julio Cortazar,Pantheon Books,1988
CN1402855,All the Way to Heaven: An American Boyhood in the Himalayas,Stephen Alter,South Asia Books,1997
NOV792277,Along the Inca Road : A Woman's Journey into an Ancient Empire,Karin Muller,National Geographic,2001
NOV806996,Amazing Math Puzzles,Adam Hart-Davis,Sterling Publishing,1998
CC3735128,American Pie (Reader's Choice),Maggie Osborne,Harlequin,2004
REL702220,Amy's Children,Olga Masters,Intl Specialized Book Service,1988
REL688030,An Indian Attachment,Sarah Lloyd,Harpercollins Juvenile Books,1984
NY5177039,Anatomy of the Spirit: The Seven Stages of Power and Healing,Caroline Myss,Harmony,1996
BK4465143,Angel Fire,Andrew M. Greeley,Warner Books Inc,1988
