ID,country,language,socialNbFollowers,socialClassesLiked,classesListed,classesOffered,classesPassRate,classesWished,classesEnrolled,gender
1,Royaume-Uni,en,147,77,26,174,74,104,1,M
2,Monaco,en,167,2,19,170,99,0,0,F
3,France,fr,137,60,33,163,94,10,3,F
4,Etats-Unis,en,131,14,122,152,92,7,0,F
5,Etats-Unis,en,167,0,25,125,100,0,0,F
6,Allemagne,de,130,1,47,123,91,0,0,F
7,Su??de,en,121,1140,31,108,94,531,105,F
8,France,fr,53,3,5,106,98,0,0,F
9,Italie,it,744,51671,0,104,85,1842,0,F
10,Royaume-Uni,en,57,45,123,92,74,6,2,F
11,Italie,it,127,863,40,87,89,68,0,M
12,Etats-Unis,en,102,0,0,87,98,0,0,F
13,Espagne,es,46,1308,63,87,92,564,36,F
14,Italie,it,35,2,185,87,94,2,0,M
15,Etats-Unis,en,123,1,117,86,100,0,0,F
16,Italie,it,45,0,17,84,98.7,0,0,M
17,Allemagne,de,48,599,22,82,89,1016,32,F
18,Espagne,es,176,276,18,81,92,1,0,F
19,Royaume-Uni,en,47,0,10,78,98,0,0,F
20,Espagne,es,85,115,54,73,90,4,0,M
21,France,fr,107,310,217,70,98,0,0,M
22,France,fr,60,41,244,70,88,37,14,F
23,France,fr,73,104,8,69,98,182,115,F
24,Su??de,en,125,7044,117,67,90,664,0,F
25,Italie,it,103,7,13,66,93,0,0,F
26,France,fr,56,727,4,66,83,16,0,F
27,Espagne,es,51,66,13,65,90,1,0,F
28,Croatie,en,50,0,44,64,93,0,0,F
29,Etats-Unis,en,54,5,102,63,98,3,0,M
30,Italie,it,47,4,9,63,98,1,0,F
31,France,fr,36,35,60,62,87,2,2,F
32,Lettonie,en,40,68,15,60,90,2,0,F
33,Royaume-Uni,en,23,28,23,60,96.4,139,6,F
34,Taiwan,en,83,4,56,57,98,0,0,F
35,Royaume-Uni,en,52,0,32,55,100,0,0,F
36,Royaume-Uni,en,42,0,55,54,100,0,0,F
37,Royaume-Uni,en,28,83,34,51,100,25,8,F
38,Espagne,es,96,3,0,50,96,214,32,F
39,Italie,it,58,2,62,50,100,0,0,M
40,Espagne,es,53,4,38,50,68,3,0,F
41,Italie,it,63,2,7,49,86.4,0,0,F
42,Bulgarie,en,30,7,6,48,35,0,0,F
43,Espagne,es,58,593,39,47,93,66,1,F
44,Royaume-Uni,en,28,4,0,47,77,8,1,F
45,Etats-Unis,en,53,1160,62,45,80,4,69,F
46,France,fr,22,0,2,44,89.1,0,0,F
47,Italie,it,21,12,7,44,93,9,3,M
48,Italie,it,47,13,25,43,93,19,0,F
49,France,en,41,0,23,43,78,0,0,F
50,Bulgarie,en,67,345,4,42,79,157,12,F
51,Italie,it,100,544,82,41,90,114,9,F
52,Chypre,en,39,474,66,41,87,17,0,F
53,Royaume-Uni,en,9,3,5,41,78,1,1,M
54,France,fr,15,0,10,38,84,1,0,F
55,Royaume-Uni,en,82,150,5,37,50,7,5,F
56,Italie,it,40,0,12,37,94,0,0,F
57,France,fr,111,237,7,35,91,2,1,F
58,Italie,it,172,778,96,34,64,2,0,F
59,Italie,it,43,204,40,34,96.2,1,0,F
60,Italie,it,24,34,46,34,85,9,1,F
61,Italie,en,94,5,10,33,28,0,0,M
62,Allemagne,de,30,16,13,33,96,97,1,F
63,France,fr,18,4,7,33,93,2,0,F
64,Italie,it,16,14,24,33,87,0,0,F
65,Bulgarie,en,57,26,55,31,100,3,0,F
66,Espagne,es,17,16,8,31,90,1,0,M
67,France,fr,17,1,35,31,93,2,0,F
68,Luxembourg,en,52,137,0,30,90,117,80,F
69,France,fr,48,9,0,30,93,1,0,F
70,Royaume-Uni,en,31,84,4,30,100,19,0,F
71,Italie,it,24,27,113,30,76,9,1,F
72,Italie,it,20,11,12,30,93,0,1,F
73,Italie,it,19,1,15,30,83,0,1,F
74,Royaume-Uni,en,7,0,37,30,90,0,0,F
75,Royaume-Uni,en,42,0,5,29,86,0,0,F
76,Royaume-Uni,en,21,1,5,29,100,0,0,F
77,Italie,it,18,19,84,29,66,15,0,F
78,Italie,it,38,0,5,28,96,0,0,M
79,France,fr,28,0,0,28,89,0,0,F
80,Espagne,es,25,0,32,28,89,0,0,F
81,Italie,it,18,16,4,28,100,0,0,F
82,Roumanie,en,13,3,16,28,96,0,0,F
83,Su??de,en,62,91,8,27,41.6,106,8,M
84,Italie,it,37,122,23,27,85,0,0,M
85,Pays-Bas,en,35,8,2,27,55,1,0,M
86,France,fr,34,46,25,27,96,0,0,F
87,Italie,it,21,3,20,27,85,0,0,F
88,Slovaquie,en,15,9,14,27,74,0,0,M
89,Royaume-Uni,en,14,0,3,27,100,0,0,F
90,Royaume-Uni,en,29,2,13,26,100,0,0,M
91,Italie,it,28,11,17,26,82.6,0,0,M
92,Italie,it,25,0,1,26,100,0,0,F
93,Espagne,es,15,1,17,26,88,0,0,F
94,Italie,it,10,5,48,26,95,3,1,F
95,Royaume-Uni,en,52,760,18,24,37,182,13,F
96,Italie,it,34,35,28,24,84,1,0,F
97,Bulgarie,en,31,161,4,24,100,612,20,F
98,Espagne,es,31,6,1,24,76,0,0,F
99,Italie,it,27,0,1,24,90.9,0,0,F
100,Royaume-Uni,en,16,30,5,24,84,71,1,F
101,Allemagne,en,14,31,17,24,83,1,0,F
102,Italie,it,11,14,3,24,87,0,0,M
103,Hong Kong,en,36,89,35,23,86,128,1,F
104,Italie,it,23,79,1,23,95,12,0,M
105,France,fr,22,2,21,23,95,112,5,M
106,France,fr,19,13,35,23,82,1,0,F
107,France,fr,17,40,3,23,95,0,7,M
108,Espagne,es,16,263,3,23,86,5,1,M
109,France,fr,36,45,5,22,69.2,0,0,M
110,Italie,it,35,9,7,22,88.8,7,4,F
111,Espagne,es,23,1,15,22,95,0,0,F
112,Royaume-Uni,en,22,20,13,22,100,0,0,F
113,Royaume-Uni,en,20,203,13,22,100,19,5,F
114,Italie,it,14,0,20,22,100,0,0,F
115,Roumanie,en,47,1,23,21,85,0,0,M
116,Lettonie,en,36,3,21,21,90,0,0,F
117,France,fr,23,165,4,21,80,0,1,F
118,France,fr,15,0,2,21,80,0,0,F
119,France,fr,7,4,31,21,100,0,0,F
120,Allemagne,fr,44,71,0,20,85,1,4,M
121,Italie,it,37,3,0,20,90,0,0,M
122,France,fr,22,8,1,20,80,10,0,F
123,Autriche,de,17,81,20,20,100,80,9,F
124,France,fr,16,33,10,20,79,1,0,M
125,Royaume-Uni,en,14,65,20,20,90,117,3,F
126,Pays-Bas,en,8,29,25,20,92.8,0,1,F
127,Royaume-Uni,en,52,73,15,19,100,3,3,F
128,Italie,it,48,346,3,19,89,1075,54,F
129,Italie,it,44,105,4,19,94,7,1,F
130,Italie,it,32,1,4,19,100,0,0,F
131,Belgique,fr,19,0,1,19,50,0,0,F
132,Italie,it,17,6,17,19,100,1,0,F
